"AHU","dampers","Cap_ex","Op_ex","NPC","feasibility","fmax","pmax","hmax"
"1","1","50000","27012.864397918125","386639.99808136537","Infeasible","4877.751328796026","382688.8489309358","57.75752427143844"
"1","2","55000","27045.578948095732","392047.6936869403","Infeasible","4572.8919338279775","355483.9629267904","59.78616434222665"
"1","3","60000","26847.196243012215","394575.4066878674","Infeasible","4572.891869293375","354753.14967606496","58.706110008216136"
"1","4","65000","26890.62928655708","400116.67841234023","Infeasible","4369.662470586701","349785.61189797986","59.14016186245234"
"1","5","70000","26567.68422117764","401092.0690784963","Infeasible","4166.691897451659","345380.86541173956","58.292353395007545"
"1","6","75000","27955.70930275511","423389.92960583593","Infeasible","3648.7849919665514","367031.67541451997","58.72605170906477"
"1","7","80000","27185.402901696503","418790.2092076388","Infeasible","3330.02397268262","354687.3397179337","58.3703637166723"
"1","8","85000","24654.16113240541","392245.34185091","Infeasible","3171.486235795427","342924.9587943903","50.63403435439019"
"1","9","90000","27313.39462808837","430385.269024039","Infeasible","2960.240993462603","354654.44995088293","58.656738911340284"
"1","10","95000","26353.476595518216","423422.5685905526","Infeasible","2749.367367816064","341803.9602972883","55.41845746996825"
"1","11","100000","24447.965582379176","404675.68953478726","Infeasible","2083.4043721008516","316139.9988566772","52.13838384352813"
"1","12","105000","23661.46658967001","399874.1736534499","Feasible","1829.157158963994","299955.0328967214","49.54507888868377"
"1","13","110000","22618.906026237106","391881.564617112","Feasible","1815.095024867073","290400.0038811873","49.54473123487219"
"2","1","100000","29234.17823842616","464322.4783985718","Infeasible","4877.751312899036","416338.94420670625","75.84951371438238"
"2","2","105000","26323.24556440899","433045.8231219975","Infeasible","4572.891861726372","364948.2087676838","60.22046232918335"
"2","3","110000","26017.393250656427","434234.22725426045","Infeasible","4572.891164370639","360098.1526953009","57.92834638290865"
"2","4","115000","25463.615466772935","432332.93202847877","Infeasible","4369.656438349543","349231.43579337833","54.46896878297203"
"2","5","120000","26072.102905723597","444916.0304834754","Infeasible","4166.491644304335","358364.994203098","56.91972472130113"
"2","6","125000","25571.809823806878","443681.2728637116","Feasible","3649.5393966010565","354913.301432783","57.4889935262152"
"2","7","130000","25227.083983701057","444385.2269338041","Feasible","3330.7699943091716","346671.79354187986","57.096627673844516"
"2","8","135000","24671.93780799287","442466.8785212721","Feasible","3170.6045494862447","347591.4496807368","57.522110659825195"
"2","9","140000","24581.490747422256","446339.7082275766","Feasible","2960.731393675897","334888.98136041395","56.38273332596799"
"2","10","145000","26640.142475127373","476995.0590802711","Feasible","2749.3793997529647","351930.60130992276","56.26141630170809"
"2","11","150000","23851.550446035522","447243.03865419806","Feasible","2083.331552309989","319801.27828929026","52.48326172799482"
"2","12","155000","22453.244020435835","434817.0498550495","Feasible","1829.1571776296628","299955.04685175733","49.55619987909046"
"2","13","160000","21748.71740647488","431037.0909999506","Feasible","1815.0964091520539","290400.0044619036","49.54476191727338"
"3","1","150000","26046.368555535628","474595.32359840424","Feasible","4877.751312355799","455413.5261679235","65.61962068918307"
"3","2","155000","25272.632915558723","469952.8673034924","Feasible","4572.8918553478115","351588.93419768044","65.87202622010108"
"3","3","160000","24647.02317590249","467156.3871355547","Feasible","4572.891872109806","386083.8798110235","56.383611863574785"
"3","4","165000","24578.822209747952","471306.4523497724","Feasible","4369.659436080363","361059.05203161447","58.68216127283976"
"3","5","170000","24024.427194949603","469397.46506249974","Feasible","4166.4211476587025","350248.64255450794","56.90207273501308"
"3","6","175000","23221.620727329922","464392.7219986718","Feasible","3648.3239648300064","345847.6674868427","51.75925621303676"
"3","7","180000","25443.05706082978","497076.7288493078","Feasible","3330.7498344620576","365789.6385582527","60.25658252952695"
"3","8","185000","23287.026946125563","475207.82805501326","Feasible","3171.28139254838","338248.9418114743","56.40802436082015"
"3","9","190000","23835.968313971323","487048.85084682883","Feasible","2959.843086290929","346715.3001054627","57.60742923345377"
"3","10","195000","23900.649054678754","492854.9158426361","Feasible","2749.7647684428075","343540.963911142","55.71422778875329"
"3","11","200000","21879.479072526345","472666.67038702493","Feasible","2083.2987514529586","313913.87197798153","51.731702873929834"
"3","12","205000","21091.67662746517","467848.91060830536","Feasible","1829.1572010723714","299955.0445887737","49.5452063793903"
"3","13","210000","20443.544630851837","464771.7533367794","Feasible","1815.1231287455746","290400.0151691585","49.54535225117705"
"4","1","200000","25358.312161410635","516020.6200872891","Feasible","4877.751344136534","394563.51419846027","66.11390429362797"
"4","2","205000","23934.234609408533","503273.4660901495","Feasible","4572.89185563274","362789.3486222986","60.626984664860196"
"4","3","210000","23923.19548323835","508135.8941778188","Feasible","4572.891855137597","362787.84175896045","57.99322846254606"
"4","4","215000","23227.92344616439","504471.26780651684","Feasible","4369.899778465303","353149.26709346345","56.64343344917754"
"4","5","220000","22934.55749364639","505815.27959889785","Feasible","4166.474765206608","348908.048503925","56.6687552061082"
"4","6","225000","23976.052854111163","523794.61385178956","Feasible","3648.3057409488683","361116.7259647398","58.026359478417206"
"4","7","230000","22691.174638643868","512782.19126608863","Feasible","3329.868493765638","346247.86642113695","57.053983665675645"
"4","8","235000","22489.658322025374","515270.8525409351","Feasible","3170.3467743289057","344762.07661221566","56.61016822267995"
"4","9","240000","22123.8763858085","515712.40111229883","Feasible","2960.7252064841873","335874.81438335497","56.453510100491364"
"4","10","245000","24946.997114601945","555894.7254569075","Feasible","2750.222701643841","361242.158209143","58.21010492082959"
"4","11","250000","20364.79459522337","503790.353828295","Feasible","2083.250172642182","303943.95837265457","49.54570463664669"
"4","12","255000","20367.692926007232","508826.47343616583","Feasible","1829.156742075856","299955.0262419436","49.5561283153494"
"4","13","260000","19573.21809849834","503925.5610238968","Feasible","1815.0925826162877","290400.0090889997","49.544675186494146"
"5","1","250000","25733.059701365244","570690.8027555528","Feasible","4877.751333128731","362560.151372034","70.12292730949616"
"5","2","255000","22699.984515106873","537891.9817996623","Feasible","4572.891855802117","359795.02974494116","58.94713342974375"
"5","3","260000","22962.045672143926","546157.8430612676","Feasible","4572.891855363992","356745.4975737749","59.030548348272376"
"5","4","265000","22972.629452435758","551289.7403574835","Feasible","4369.654550630005","369815.75254630076","56.8926734364731"
"5","5","270000","21085.046576771747","532766.2855219821","Feasible","4166.4194486579","339791.2853081854","50.21657028964982"
"5","6","275000","21354.302052851508","541121.803900769","Feasible","3649.199424271169","343949.5221137088","51.49955404703118"
"5","7","280000","25589.546500115008","598902.3110546411","Feasible","3330.636715778572","382970.3380756698","63.41599765785334"
"5","8","285000","20204.71111154671","536795.35978235","Feasible","3170.9521358880265","325663.1777098335","49.5560732471138"
"5","9","290000","20519.807146223542","545722.1528445929","Feasible","2960.2285122269113","335388.851283495","49.63008353192309"
"5","10","295000","22547.505372114243","575991.7546468381","Feasible","2749.668394108727","346604.52601179056","55.6701302234803"
"5","11","300000","21329.988352507175","565818.8014528723","Feasible","2083.455899796365","324158.3715129319","52.68016800487023"
"5","12","305000","19641.49563250562","549776.4500143655","Feasible","1829.1572419989309","299955.0495453663","49.545214597132855"
"5","13","310000","19056.11895440045","547481.3627222015","Feasible","1815.1089634518132","290400.0135343387","49.54503925843497"
"6","1","300000","21524.280377148345","568240.1095318286","Feasible","4877.751361886695","369856.024066","57.27817593079823"
"6","2","305000","21894.35655725981","577852.0767311413","Feasible","4572.891924971596","350843.7424178348","60.27684099932472"
"6","3","310000","22075.77972213098","585113.0103727751","Feasible","4572.891905238968","365895.1999221379","58.71779319379201"
"6","4","315000","21616.237857050633","584386.1029889409","Feasible","4369.696109894034","355388.90911751636","56.06420723076355"
"6","5","320000","21469.178258800144","587553.4153426538","Feasible","4166.5234211678235","352978.08774096344","57.07584117982536"
"6","6","325000","21434.4773132552","592120.9648601876","Feasible","3649.1030931651844","360127.2930831035","57.34100440892125"
"6","7","330000","22515.411525359596","610591.7943778804","Feasible","3330.4755036049723","369206.58282184065","60.23385559957734"
"6","8","335000","22236.22209221332","612112.4769365969","Feasible","3171.5261089472315","358170.0549705231","58.74402919227219"
"6","9","340000","19904.26274642628","588051.1090591468","Feasible","2960.1255816161993","334688.44638026925","51.9419598030453"
"6","10","345000","20694.035874033198","602893.4278982701","Feasible","2749.3924341990273","336738.3135509076","54.85456040940405"
"6","11","350000","21843.23428445211","622214.980214223","Feasible","2083.4770177982864","334545.59487917495","54.016112572083365"
"6","12","355000","18926.098540781633","590861.0209788597","Feasible","1829.1572647720047","299955.05156527617","49.54749673210938"
"6","13","360000","18185.972108068207","586637.4096943112","Feasible","1815.1234603335984","290400.01522493974","49.54535964341572"
"7","1","350000","22319.344051898817","628148.3602822818","Feasible","4877.751363845073","362100.08088059106","62.71123267215303"
"7","2","355000","20868.856958501583","615072.085025226","Feasible","4572.891955964428","358397.1751934601","59.96616923724203"
"7","3","360000","20332.93869317371","613393.3588763009","Feasible","4572.891855791476","374378.891208686","56.56520890396108"
"7","4","365000","21359.45332287973","631186.0001113919","Feasible","4369.653308540548","373539.8920878777","73.6628607881908"
"7","5","370000","19240.809100567632","609783.0101719315","Feasible","4166.423927314154","348692.1375982588","51.402330705668035"
"7","6","375000","22487.968758040297","655249.7968391659","Feasible","3649.814796446641","380660.27069351135","61.27879363052507"
"7","7","380000","20101.88006281766","630513.8576233445","Feasible","3330.786862985818","345463.8274004266","55.638588632827705"
"7","8","385000","21428.611232555122","652047.8605286169","Feasible","3170.6319708753726","367171.70466506644","59.575191843436706"
"7","9","390000","20687.193101204408","647808.1518239514","Feasible","2959.9377222039266","350960.39343767444","57.982369014134605"
"7","10","395000","19758.13153208395","641229.991128402","Feasible","2749.5982218108607","337623.1889416195","54.80685026978156"
"7","11","400000","18539.87523230384","631047.8248694178","Feasible","2083.250061007235","313034.0155347803","51.89477643665506"
"7","12","405000","17894.454878443124","628004.460660249","Feasible","1829.1567478095474","299955.0261716734","49.54486133490532"
"7","13","410000","17315.762287211575","625792.6718646518","Feasible","1815.1196419841958","290400.0224082655","49.545274612003894"
"8","1","400000","20843.30950634774","659753.7073027688","Feasible","4877.7513158835945","356916.21376940445","56.13420986773974"
"8","2","405000","20354.740526228285","658665.0579056799","Feasible","4572.891865706298","358672.80027344514","60.188496351496305"
"8","3","410000","20494.24518564394","665403.5943150822","Feasible","4572.891878788101","360448.3109878022","58.28884228356247"
"8","4","415000","19945.837652621878","663569.2242851278","Feasible","4369.658952856352","345769.1815791656","54.95948434930032"
"8","5","420000","18686.037133962825","652869.3252319577","Feasible","4166.415031430673","349639.8592376112","51.528584997810526"
"8","6","425000","19631.08845018185","669646.7535191735","Feasible","3649.262404127514","349909.71931673936","56.449435384323635"
"8","7","430000","19708.786742328943","675615.0459791666","Feasible","3329.9100871364285","348213.45541884017","57.32714761023418"
"8","8","435000","19239.15331052134","674762.3753680914","Feasible","3171.422983101975","342435.4471622291","56.36333412920331"
"8","9","440000","19893.43168050979","687916.1300374616","Feasible","2960.4872096947392","348803.3038124195","57.596574990456745"
"8","10","445000","19102.273027883515","683056.5444941125","Feasible","2749.5493663535012","335405.7585561382","54.84230293913458"
"8","11","450000","18225.027412538482","677124.1251136118","Feasible","2083.336011726736","316916.48597209423","52.04159945507463"
"8","12","455000","17446.281651259647","672419.2316331936","Feasible","1829.1573031838832","299955.0526243219","49.5456755131886"
"8","13","460000","16880.616942676003","670369.7990514726","Feasible","1815.106843240155","290400.0088690184","49.544991867964654"
"9","1","450000","20019.791530091403","699490.8530617994","Feasible","4877.7513502300135","340989.0753411752","55.452723148987154"
"9","2","455000","19270.53199050932","695153.4230783728","Feasible","4572.891885487083","343363.2068612189","52.79451447431154"
"9","3","460000","19735.20981537291","705944.3358733369","Feasible","4572.891891439112","368683.18396586727","61.181906581027086"
"9","4","465000","19507.221879473687","708103.1022605993","Feasible","4369.670430210998","353208.0924504952","58.604962685039915"
"9","5","470000","19884.348381064417","717802.9320491692","Feasible","4166.441495602104","359164.058631862","57.2173479492738"
"9","6","475000","19773.007814230776","721415.3824856307","Feasible","3649.328330313389","358531.077933579","57.44940494688932"
"9","7","480000","19050.00249875885","717405.1381654451","Feasible","3331.1861155722213","357110.6450993336","57.30591391414039"
"9","8","485000","20016.535559579504","734450.2764724111","Feasible","3170.7245478683512","359479.43043721415","59.11583181218778"
"9","9","490000","19010.571346899673","726913.7388569274","Feasible","2960.2368248159255","342850.5399381828","57.17968784759021"
"9","10","495000","17859.57406992754","717569.7686876099","Feasible","2750.112080886894","331084.6482555063","54.61602202345335"
"9","11","500000","17811.54173120989","721971.1795792665","Feasible","2083.2676550043234","316803.35403986543","52.07712770940309"
"9","12","505000","16984.92302286959","716669.6833628509","Feasible","1829.1573321259568","299955.0551009673","49.547244411289775"
"9","13","510000","16363.491562488049","713925.2737901043","Feasible","1815.116936306659","290400.03697215905","49.54520877204905"
"10","1","500000","20387.99811907729","754079.5210232508","Feasible","4877.751312204564","399560.2142907363","59.97906383352991"
"10","2","505000","18464.524934983776","735108.7936148422","Feasible","4572.891964964647","380780.5382780492","55.677107333728884"
"10","3","510000","18802.001454326608","744314.496984561","Feasible","4572.891855190658","354568.83104751736","63.25844454731324"
"10","4","515000","18729.28341655938","748408.2695022089","Feasible","4369.6881468221945","347106.27566577785","57.4351492682117"
"10","5","520000","18515.627494584376","750745.6444616271","Feasible","4166.481040591969","354546.17968102347","57.368365997333925"
"10","6","525000","18281.458205434352","752827.3775244765","Feasible","3649.5992172569013","347617.83599329536","56.93825008170983"
"10","7","530000","18090.853033057705","755452.0157739426","Feasible","3331.8036034472707","350022.86443529045","57.316422820233356"
"10","8","535000","16510.616469021854","740758.7753219551","Feasible","3170.92575653896","339781.3633463192","50.215248498292446"
"10","9","540000","18334.78577900172","768491.9569633303","Feasible","2960.9640753956087","348847.59926354524","57.49705483818613"
"10","10","545000","17391.006650573232","761730.3829479554","Feasible","2749.1318872355732","332040.1088765992","54.20495092922661"
"10","11","550000","16974.275780698405","761536.9951913457","Feasible","2083.2401146427173","320656.59988627664","52.32295594711835"
"10","12","555000","16011.94420577167","754544.2166853409","Feasible","1829.1574850603465","299955.0443408739","49.54556459918854"
"10","13","560000","15575.30950617365","754102.7832160986","Feasible","1815.1048698003597","290400.00551932666","49.54494935991919"
